club_stat_id,match_id,club,goals_scored,possession
587,294,Newcastle United,1,57
588,294,Everton,1,43
589,295,Nottingham Forest,3,34
590,295,Fulham,1,66
591,296,AFC Bournemouth,1,50
592,296,Crystal Palace,0,50
593,297,Burnley,1,51
594,297,Wolverhampton Wanderers,1,49
595,298,West Ham United,1,33
596,298,Tottenham Hotspur,1,67
597,299,Brentford,0,34
598,299,Brighton & Hove Albion,0,66
599,300,Arsenal,2,58
600,300,Luton Town,0,42
601,301,Manchester City,4,67
602,301,Aston Villa,1,33
603,302,Liverpool,3,82
604,302,Sheffield United,1,18
605,303,Chelsea,4,57
606,303,Manchester United,3,43
607,304,Crystal Palace,2,25
608,304,Manchester City,4,75
609,305,Luton Town,2,55
610,305,AFC Bournemouth,1,45
611,306,Everton,1,38
612,306,Burnley,0,62
613,307,Wolverhampton Wanderers,1,58
614,307,West Ham United,2,42
615,308,Aston Villa,3,69
616,308,Brentford,3,31
617,309,Fulham,0,66
618,309,Newcastle United,1,34
619,310,Brighton & Hove Albion,0,54
620,310,Arsenal,3,46
621,311,Manchester United,2,38
622,311,Liverpool,2,62
623,312,Sheffield United,2,32
624,312,Chelsea,2,68
625,313,Tottenham Hotspur,3,63
626,313,Nottingham Forest,1,37
627,314,Newcastle United,4,28
628,314,Tottenham Hotspur,0,72
629,315,Manchester City,5,73
630,315,Luton Town,1,27
631,316,Burnley,1,44
632,316,Brighton & Hove Albion,1,56
633,317,Nottingham Forest,2,46
634,317,Wolverhampton Wanderers,2,54
635,318,Brentford,2,53
636,318,Sheffield United,0,47
637,319,AFC Bournemouth,2,43
638,319,Manchester United,2,57
639,320,Liverpool,0,69
640,320,Crystal Palace,1,31
641,321,West Ham United,0,58
642,321,Fulham,2,42
643,322,Arsenal,0,52
644,322,Aston Villa,2,48
645,323,Chelsea,6,58
646,323,Everton,0,42
647,324,Sheffield United,1,49
648,324,Burnley,4,51
649,325,Luton Town,1,53
650,325,Brentford,5,47
651,326,Wolverhampton Wanderers,0,46
652,326,Arsenal,2,54
653,327,Everton,2,41
654,327,Nottingham Forest,0,59
655,328,Crystal Palace,5,60
656,328,West Ham United,2,40
657,329,Aston Villa,3,56
658,329,AFC Bournemouth,1,44
659,330,Fulham,1,40
660,330,Liverpool,3,60
661,331,Arsenal,5,45
662,331,Chelsea,0,55
663,332,Wolverhampton Wanderers,0,63
664,332,AFC Bournemouth,1,37
665,333,Everton,2,25
666,333,Liverpool,0,75
667,334,Manchester United,4,71
668,334,Sheffield United,2,29
669,335,Crystal Palace,2,47
670,335,Newcastle United,0,53
671,336,Brighton & Hove Albion,0,36
672,336,Manchester City,4,64
673,337,West Ham United,2,29
674,337,Liverpool,2,71
675,338,Wolverhampton Wanderers,2,58
676,338,Luton Town,1,42
677,339,Manchester United,1,48
678,339,Burnley,1,52
679,340,Fulham,1,53
680,340,Crystal Palace,1,47
681,341,Newcastle United,5,60
682,341,Sheffield United,1,40
683,342,Everton,1,48
684,342,Brentford,0,52
685,343,Aston Villa,2,29
686,343,Chelsea,2,71
687,344,Tottenham Hotspur,2,62
688,344,Arsenal,3,38
689,345,AFC Bournemouth,3,31
690,345,Brighton & Hove Albion,0,69
691,346,Nottingham Forest,0,34
692,346,Manchester City,2,66
693,347,Chelsea,2,37
694,347,Tottenham Hotspur,0,63
695,348,Luton Town,1,51
696,348,Everton,1,49
697,349,Arsenal,3,55
698,349,AFC Bournemouth,0,45
699,350,Brentford,0,54
700,350,Fulham,0,46
701,351,Burnley,1,47
702,351,Newcastle United,4,53
703,352,Sheffield United,1,54
704,352,Nottingham Forest,3,46
705,353,Manchester City,5,58
706,353,Wolverhampton Wanderers,1,42
707,354,Brighton & Hove Albion,1,52
708,354,Aston Villa,0,48
709,355,Chelsea,5,69
710,355,West Ham United,0,31
711,356,Liverpool,4,44
712,356,Tottenham Hotspur,2,56
713,357,Crystal Palace,4,43
714,357,Manchester United,0,57
715,358,Fulham,0,36
716,358,Manchester City,4,64
717,359,Newcastle United,1,57
718,359,Brighton & Hove Albion,1,43
719,360,Tottenham Hotspur,2,63
720,360,Burnley,1,37
721,361,Wolverhampton Wanderers,1,62
722,361,Crystal Palace,3,38
723,362,AFC Bournemouth,1,48
724,362,Brentford,2,52
725,363,Everton,1,58
726,363,Sheffield United,0,42
727,364,West Ham United,3,58
728,364,Luton Town,1,42
729,365,Nottingham Forest,2,33
730,365,Chelsea,3,67
731,366,Manchester United,0,54
732,366,Arsenal,1,46
733,367,Aston Villa,3,41
734,367,Liverpool,3,59
735,368,Tottenham Hotspur,0,53
736,368,Manchester City,2,47
737,369,Brighton & Hove Albion,1,55
738,369,Chelsea,2,45
739,370,Manchester United,3,45
740,370,Newcastle United,2,55
741,371,Liverpool,2,67
742,371,Wolverhampton Wanderers,0,33
743,372,Luton Town,2,41
744,372,Fulham,4,59
745,373,Chelsea,2,61
746,373,AFC Bournemouth,1,39
747,374,Burnley,1,72
748,374,Nottingham Forest,2,28
749,375,Crystal Palace,5,54
750,375,Aston Villa,0,46
751,376,Brighton & Hove Albion,0,55
752,376,Manchester United,2,45
753,377,Brentford,2,54
754,377,Newcastle United,4,46
755,378,Manchester City,3,71
756,378,West Ham United,1,29
757,379,Arsenal,2,68
758,379,Everton,1,32
759,380,Sheffield United,0,25
760,380,Tottenham Hotspur,3,75
